,county_en,province_en,Livestock_int_hist,Livestock_vac_hist,Pop_setting,count,county_count,Population,inf_rate,ses,inf_rate_100k
280,Ardabil,Ardabil,0,0,1,22,654,605992,3.63E-05,1,3.63E+00
281,Ardabil,Ardabil,0,0,1,6,654,605992,9.90E-06,1,9.90E-01
282,Ardabil,Ardabil,1,-1,0,2,654,605992,3.30E-06,1,3.30E-01
283,Ardabil,Ardabil,1,-1,0,2,654,605992,3.30E-06,1,3.30E-01
284,Ardabil,Ardabil,1,-1,0,2,654,605992,3.30E-06,1,3.30E-01
285,Ardabil,Ardabil,1,-1,-1,73,654,605992,0.000120464,1,1.20E+01
286,Ardabil,Ardabil,1,-1,1,3,654,605992,4.95E-06,1,4.95E-01
287,Ardabil,Ardabil,1,0,0,7,654,605992,1.16E-05,1,1.16E+00
288,Ardabil,Ardabil,1,0,0,2,654,605992,3.30E-06,1,3.30E-01
289,Ardabil,Ardabil,1,0,-1,61,654,605992,0.000100661,1,1.01E+01
290,Ardabil,Ardabil,1,0,1,54,654,605992,8.91E-05,1,8.91E+00
291,Ardabil,Ardabil,1,1,0,1,654,605992,1.65E-06,1,1.65E-01
292,Ardabil,Ardabil,1,1,-1,30,654,605992,4.95E-05,1,4.95E+00
293,Ardabil,Ardabil,1,1,1,2,654,605992,3.30E-06,1,3.30E-01
294,Ardal,Chaharmahal and Bakhtiari,-1,-1,1,2,34,48880,4.09E-05,3,4.09E+00
295,Ardal,Chaharmahal and Bakhtiari,0,0,1,1,34,48880,2.05E-05,3,2.05E+00
296,Ardal,Chaharmahal and Bakhtiari,1,-1,-1,2,34,48880,4.09E-05,3,4.09E+00
297,Ardal,Chaharmahal and Bakhtiari,1,-1,1,3,34,48880,6.14E-05,3,6.14E+00
298,Ardal,Chaharmahal and Bakhtiari,1,0,-1,9,34,48880,0.000184124,3,1.84E+01
299,Ardal,Chaharmahal and Bakhtiari,1,0,1,5,34,48880,0.000102291,3,1.02E+01
300,Ardal,Chaharmahal and Bakhtiari,1,1,-1,9,34,48880,0.000184124,3,1.84E+01
301,Ardal,Chaharmahal and Bakhtiari,1,1,1,3,34,48880,6.14E-05,3,6.14E+00
302,Ardekan,Yazd,-1,-1,-1,1,77,97960,1.02E-05,4,1.02E+00
303,Ardekan,Yazd,-1,-1,1,14,77,97960,0.000142915,4,1.43E+01
304,Ardekan,Yazd,-1,0,1,36,77,97960,0.000367497,4,3.67E+01
305,Ardekan,Yazd,-1,1,1,1,77,97960,1.02E-05,4,1.02E+00
306,Ardekan,Yazd,1,-1,1,3,77,97960,3.06E-05,4,3.06E+00
307,Ardekan,Yazd,1,0,1,20,77,97960,0.000204165,4,2.04E+01
308,Ardekan,Yazd,1,1,1,2,77,97960,2.04E-05,4,2.04E+00
309,Ardestan,Isfahan,-1,-1,-1,1,51,42105,2.38E-05,5,2.38E+00
